Bin_ID,ELectoral_Area,Bin_Type,Irish_X,Irish_Y
WMS2628,CLONTARF EAST A,Class B,321343.8402,238063.5091
WMS2996,WOOD QUAY B,Class B,315062.0594,232730.4799
WMS0213,NORTH CITY,Class A,315977.2381,234475.3994
WMS0633,MANSION HOUSE B,Class A,315971.1365,233861.4915
WMS3506,PEMBROKE WEST B,Class B,317852.4734,232917.8902
WMS1311,PEMBROKE EAST A,Class A,318150.5128,233815.215
WMS0037,CLONTARF EAST D,Class A,319140.0359,235889.1897
WMS1379,NORTH CITY,Class A,315744.6449,234620.259
WMS3460,BALLYGALL D,Class B,314674.0084,238280.3705
WMS0984,USHERS D,Class A,313507.9407,233060.1922
WMS2461,GRANGE D,Class B,321895.1809,239183.168
WMS1035,NORTH CITY,Class A,315989.5424,234874.9392
WMS2915,ARRAN QUAY C,Class B,314601.2341,234422.6446
WMS3323,HARMONSTOWN B,Class B,319912.3101,238184.9761
WMS1226,NORTH DOCK C,Bigbelly Bin,316358.5425,234502.8999
WMS4159,NORTH DOCK C,Cast Iron,317183.6376,234770.9998
WMS2190,BALLYMUN C,Class A,315936.6026,240277.4839
WMS0840,MANSION HOUSE A,Class A,316914.4533,233965.2508
WMS1045,MANSION HOUSE B,Class A,316079.7073,233790.2898
WMS4250,ROTUNDA A,Cast Iron,316159.8507,235052.6184
WMS2433,GRANGE E,Class B,321339.2389,239203.1065
WMS3512,BALLYMUN C,Class B,316031.7917,239307.2011
WMS0442,NORTH CITY,Class A,315439.8927,234387.364
WMS0766,SAINT KEVINS,Class A,315420.4491,232449.389
WMS2349,KILMORE C,Class B,319142.504,239623.1642
WMS0332,NORTH CITY,Class A,315404.2677,234664.2349
WMS0484,ROYAL EXCHANGE A,Class A,315873.422,234099.6944
WMS2202,WHITEHALL B,Class B,316036.2574,238822.5125
WMS4342,SOUTH DOCK,Cast Iron,316538.4067,232969.6149
WMS2954,WOOD QUAY B,Class B,315095.6985,232683.0373
WMS2708,DRUMCONDRA SOUTH C,Class B,315728.4557,237536.0646
WMS4526,DRUMFINN,Cast Iron,309873.3155,233700.431
WMS3195,RATHFARNHAM,Class B,315557.9058,229784.8995
WMS4275,MOUNTJOY A,Cast Iron,316270.4936,235058.4288
WMS4472,MERCHANTS QUAY A,Cast Iron,314576.9473,233894.2521
WMS2809,ASHTOWN A,Class B,312134.0892,237223.832
WMS3202,RATHMINES WEST A,Class B,314723.2587,231638.2217
WMS3085,PEMBROKE EAST E,Class B,318014.8307,232370.4193
WMS0479,ROYAL EXCHANGE A,Class A,315803.843,234043.7233
WMS0237,NORTH CITY,Class A,315858.8682,234777.66
WMS2700,DRUMCONDRA SOUTH A,Class B,316259.9493,236884.0508
WMS3047,PEMBROKE EAST E,Class B,318302.8629,232459.6693
WMS2211,BEAUMONT D,Class B,318394.3735,238391.1096
WMS3362,KILMORE C,Class B,319045.9914,239922.2969
WMS0292,NORTH CITY,Class A,315460.0172,234498.0282
WMS1315,WHITEHALL C,Class A,316733.144,239418.3911
WMS3383,CRUMLIN F,Class B,311917.0886,231823.0151
WMS2923,INNS QUAY A,Class B,315273.7978,235703.4664
WMS2294,BEAUMONT B,Class B,318737.3256,238678.5012
WMS0181,NORTH CITY,Class A,315978.5257,234533.3411
WMS4130,CABRA EAST C,Cast Iron,313369.3452,234879.726
WMS2705,WHITEHALL A,Class B,316521.5647,237643.578
WMS2613,CLONTARF EAST C,Class B,320098.439,235833.9505
WMS2637,CLONTARF EAST B,Class B,320941.2458,236458.6984
WMS0775,SAINT KEVINS,Class A,315977.1071,232560.9744
WMS3247,KIMMAGE B,Class B,313571.5691,231820.8613
WMS2846,INNS QUAY A,Class B,315301.861,235856.5327
WMS2991,WOOD QUAY B,Class B,315022.9104,232969.2144
WMS4083,CLONTARF EAST A,Cast Iron,321322.2635,238154.3415
WMS0925,PEMBROKE WEST C,Bigbelly Bin,317003.1189,232910.3626
WMS4348,MANSION HOUSE B,Cast Iron,316546.7015,233311.5563
WMS2722,CABRA EAST A,Class B,315050.2688,236092.2783
WMS2814,ASHTOWN A,Class B,311626.0956,237221.161
WMS2620,RAHENY-ST.ASSAM,Class B,322680.0303,238078.2804
WMS1032,NORTH CITY,Class A,315984.4808,234957.8892
WMS4255,NORTH CITY,Cast Iron,316299.7995,234742.9023
WMS3265,TERENURE D,Class B,314387.5257,230146.848
WMS1027,ROTUNDA A,Class A,315875.4193,235011.5622
WMS0624,ROYAL EXCHANGE B,Class A,315752.8109,233703.6904
WMS1042,MANSION HOUSE A,Class A,315994.8711,233961.0601
WMS0997,USHERS D,Class A,313743.0189,233338.4941
WMS2435,RAHENY-GREENDALE,Class B,323313.1078,238982.2726
WMS3055,PEMBROKE EAST E,Class B,317907.1757,232482.32
WMS1015,NORTH CITY,Class A,315613.3042,234789.7975
WMS2815,ASHTOWN A,Class B,311601.3996,237223.2534
WMS3237,RATHFARNHAM,Class B,315127.8918,230040.6151
WMS1038,MANSION HOUSE A,Class A,315980.4142,234087.2429
WMS0742,MANSION HOUSE B,Class A,316221.1652,233068.1511
WMS4186,ARRAN QUAY B,Cast Iron,314339.6923,234913.3881
WMS0561,ROYAL EXCHANGE A,Class A,315625.1197,233821.607
WMS4561,DRUMFINN,Cast Iron,309393.9771,233723.2674
WMS0394,NORTH CITY,Class A,315421.0681,234536.6556
WMS2630,CLONTARF EAST A,Class B,321246.9161,237962.9671
WMS4017,BALLYGALL A,Cast Iron,313264.096,238916.0748
WMS2040,FINGLAS NORTH B,Class B,312388.2579,239124.815
WMS2383,GRANGE A,Class B,321307.8849,240667.0628
WMS3077,PEMBROKE EAST E,Class B,318909.6437,231522.6217
WMS4432,SAINT KEVINS,Cast Iron,315632.1341,232533.1895
WMS4086,CLONTARF EAST A,Cast Iron,321405.8841,238210.936
WMS2465,GRANGE D,Class B,321739.2454,239192.7677
WMS0837,MANSION HOUSE A,Class A,316414.9593,234120.6628
WMS3128,PEMBROKE EAST D,Class B,318917.0952,231239.4598
WMS0491,ROYAL EXCHANGE A,Class A,315599.6304,234045.7356
WMS2396,CLONTARF WEST A,Class B,319476.8995,238393.5078
WMS4378,SOUTH DOCK,Cast Iron,317011.4682,233239.4133
WMS2032,FINGLAS NORTH B,Class B,312392.2818,238981.7865
WMS4430,SAINT KEVINS,Cast Iron,315711.4194,232766.7649
WMS0517,PEMBROKE EAST A,Cast Iron,318408.5027,234064.2837
WMS1158,MOUNTJOY A,Bigbelly Bin,316258.0221,235060.4782
WMS2336,HARMONSTOWN A,Class B,319948.938,239139.4663
WMS1145,ROYAL EXCHANGE A,Bigbelly Bin,315353.9081,234089.1192
WMS0066,MANSION HOUSE A,Class A,316716.5084,233784.448
WMS1022,NORTH CITY,Class A,315959.5544,234477.0911
WMS0495,ROYAL EXCHANGE A,Class A,315386.0752,234015.231
WMS2640,CLONTARF EAST B,Class B,320957.165,236592.0083
WMS3057,PEMBROKE EAST E,Class B,317982.6154,232409.1755
WMS0701,MANSION HOUSE A,Class A,316567.7468,234258.3659
WMS2695,BOTANIC A,Class B,315178.9298,237535.3003
WMS4337,SOUTH DOCK,Cast Iron,316893.811,232997.186
WMS4212,ROTUNDA A,Cast Iron,315942.0824,235438.1753
WMS4498,USHERS C,Cast Iron,314185.0505,233716.9946
WMS0696,ROYAL EXCHANGE B,Class A,315735.6095,233199.5438
WMS2544,GRACE PARK,Class B,318135.4158,236850.2875
WMS3212,RATHFARNHAM,Class B,314652.5714,230252.6139
WMS3307,USHERS D,Class B,313350.5895,233224.4863
WMS2565,DRUMCONDRA SOUTH C,Class B,315742.24,237800.3138
WMS4455,PEMBROKE WEST B,Cast Iron,317809.7936,232464.6475
WMS0715,SAINT KEVINS,Class A,315594.7026,233129.7106
WMS2140,BALLYGALL C,Class B,315035.4064,237939.6744
WMS2473,HARMONSTOWN B,Class B,320213.235,238434.8071
WMS2447,EDENMORE,Class B,321091.8786,239276.7033
WMS3253,TERENURE B,Class B,313628.0216,230721.4321
WMS2739,FINGLAS SOUTH B,Class B,313724.457,238219.0354
WMS0866,MANSION HOUSE A,Class A,316041.0612,234383.9851
WMS1130,MANSION HOUSE A,Bigbelly Bin,316132.9991,234398.6848
WMS4144,NORTH DOCK C,Cast Iron,316830.1487,235185.8367
WMS2378,PRIORSWOOD D,Class B,319715.5045,240132.3461
WMS3409,INCHICORE A,Class B,311759.4452,233288.1056
WMS0651,ROYAL EXCHANGE B,Class A,315754.3083,233693.2181
WMS0203,NORTH CITY,Class A,316210.5953,234489.5952
WMS2977,SOUTH DOCK,Class B,316965.9226,233931.4292
WMS0658,ROYAL EXCHANGE B,Class A,315940.3394,233884.9713
WMS1107,CRUMLIN F,Bigbelly Bin,311889.5607,231889.3219
WMS3579,CLONTARF EAST E,Class B,319582.6584,237332.1388
WMS3192,RATHFARNHAM,Class B,315085.5627,230371.8633
WMS4257,MOUNTJOY A,Cast Iron,316342.0148,234697.4047
WMS0427,INNS QUAY C,Class A,315066.4704,234188.9791
WMS3271,TERENURE B,Class B,314288.8259,230299.7908
WMS0596,WOOD QUAY A,Class A,315277.7409,233849.354
WMS2817,ASHTOWN A,Class B,311617.4329,236882.7261
WMS2025,FINGLAS NORTH C,Class B,313436.1662,239561.2422
WMS4551,CARNA,Cast Iron,309508.0242,233600.8699
WMS1079,BALLYBOUGH A,Bigbelly Bin,316636.2494,235525.0701
WMS0910,PEMBROKE WEST A,Bigbelly Bin,317467.298,233093.1639
WMS2075,BALLYMUN E,Class B,314530.3275,239511.4793
WMS0167,NORTH CITY,Class A,316007.3963,234705.9317
WMS3148,RATHMINES EAST B,Class B,316916.5545,231515.3594
WMS2462,GRANGE D,Class B,322005.056,239099.8843
WMS3241,KIMMAGE C,Class B,314267.8044,231366.8879
WMS1159,SOUTH DOCK,Bigbelly Bin,316792.9635,232903.9371
WMS2824,ASHTOWN B,Class B,312292.7223,236273.3995
WMS3098,PEMBROKE WEST B,Class B,317483.7305,231687.4605
WMS4145,NORTH DOCK C,Cast Iron,316953.0955,235063.8093
WMS1265,PEMBROKE WEST A,Bigbelly Bin,317529.2125,233707.049
WMS2251,KILMORE A,Class B,317738.1233,240056.7601
WMS0806,MANSION HOUSE B,Class A,316060.4467,233770.9812
WMS1047,MANSION HOUSE B,Class A,315952.489,233566.1637
WMS0644,ROYAL EXCHANGE A,Class A,315784.7847,234031.3688
WMS1083,CABRA EAST B,Bigbelly Bin,314282.5888,235895.4098
WMS0961,RATHMINES WEST A,Class A,315656.7258,232153.8727
WMS3283,USHERS B,Class B,314300.845,234258.6987
WMS1233,SOUTH DOCK,Bigbelly Bin,317386.3354,234272.3348
WMS0848,SOUTH DOCK,Class A,316986.4624,233964.214
WMS4395,MANSION HOUSE A,Cast Iron,316790.4021,233854.2952
WMS4353,SAINT KEVINS,Cast Iron,316091.4815,232971.2062
WMS2073,BALLYMUN E,Class B,314908.3065,239325.4316
WMS2779,CABRA WEST D,Class B,313398.8731,235872.471
WMS3189,PRIORSWOOD C,Class B,320821.5775,240390.6342
WMS0734,SAINT KEVINS,Class A,315680.8267,232862.7342
WMS0697,SAINT KEVINS,Class A,315730.9488,233141.2936
WMS2322,BEAUMONT E,Class B,318652.3409,237663.7761
WMS2611,CLONTARF EAST C,Class B,319929.8591,235873.0072
WMS2227,KIMMAGE E,Class B,312274.3133,230827.0077
WMS0834,MANSION HOUSE A,Class A,316185.8469,234194.4036
WMS4099,RAHENY-ST.ASSAM,Cast Iron,321546.706,238205.5623
WMS4485,MERCHANTS QUAY B,Cast Iron,314562.2822,233878.3104
WMS0222,NORTH CITY,Class A,315927.7791,234659.8602
WMS4607,USHERS C,Cast Iron,314014.3242,233906.6479
WMS1260,SOUTH DOCK,Bigbelly Bin,317428.145,234094.6397
WMS1021,NORTH CITY,Class A,315969.4463,234432.9984
WMS2085,BALLYGALL D,Class B,314168.8823,238420.4578
WMS0725,SAINT KEVINS,Class A,315666.454,232570.2631
WMS0587,WOOD QUAY A,Class A,315140.6635,233596.8997
WMS4376,SOUTH DOCK,Cast Iron,316787.3007,233402.0114
WMS4112,WHITEHALL A,Cast Iron,316228.8111,237790.5392
WMS0486,ROYAL EXCHANGE A,Class A,315866.056,234076.8114
WMS1244,SOUTH DOCK,Bigbelly Bin,317247.9169,234288.1683
WMS3166,RATHMINES EAST B,Class B,316814.7526,230399.6364
WMS4221,ROTUNDA A,Cast Iron,315600.9103,235303.589
WMS4088,CLONTARF EAST A,Cast Iron,321475.2185,238109.7457
WMS3534,DRUMCONDRA SOUTH C,Class B,316067.8483,237424.069
WMS0726,RATHMINES WEST D,Class A,315170.4592,230484.3385
WMS2441,RAHENY-GREENDALE,Class B,322946.2719,238778.9157
WMS2192,WHITEHALL B,Class B,316029.375,239301.3834
WMS2395,CLONTARF WEST A,Class B,319477.8123,238361.9529
WMS3609,CABRA EAST C,Class B,313782.2634,235623.9202
WMS1228,ROTUNDA B,Class A,315391.8448,234684.989
WMS0186,NORTH CITY,Class A,316049.2328,234460.2458
WMS2535,CLONTARF WEST B,Class B,319007.196,237852.7371
WMS4605,CARNA,Cast Iron,309474.1598,233693.5168
WMS2801,CABRA WEST C,Class B,312723.586,236259.3804
WMS2788,ASHTOWN B,Class B,312042.4317,236557.7251
WMS3553,KILMAINHAM C,Class B,312018.554,233450.175
WMS2917,ARRAN QUAY C,Class B,314323.6091,234328.5316
WMS4503,USHERS C,Cast Iron,314170.8039,233223.3163
WMS4132,ARRAN QUAY D,Cast Iron,313397.5603,234830.5438
WMS2180,BALLYMUN A,Class B,314683.949,240211.8762
WMS2934,INNS QUAY B,Class B,315380.0388,235385.918
WMS2207,WHITEHALL A,Class B,316141.2494,238750.8338
WMS2290,BEAUMONT C,Class B,319106.7474,238154.008
WMS3197,RATHMINES WEST F,Class B,315249.108,231294.5872
WMS0954,RATHMINES WEST F,Class A,315543.05,231524.7001
WMS0583,WOOD QUAY A,Class A,315209.9606,233377.8165
WMS3204,RATHMINES WEST F,Class B,314744.1868,231395.6613
WMS3105,PEMBROKE EAST D,Class B,318175.6966,230978.8416
WMS0422,NORTH CITY,Class A,315353.4816,234241.3779
WMS4072,GRANGE A,Cast Iron,322264.0953,240113.9257
WMS1393,ROYAL EXCHANGE A,Bigbelly Bin,315975.1757,234334.1695
WMS2638,CLONTARF EAST B,Class B,320941.8446,236425.8163
WMS4211,ROTUNDA A,Cast Iron,315948.5014,235424.0719
WMS4029,KILMORE A,Cast Iron,317707.9028,240300.3033
WMS3436,DRUMFINN,Class B,308944.8177,233989.0396
WMS1089,ARRAN QUAY C,Bigbelly Bin,314724.0032,234590.9216
WMS1034,NORTH CITY,Class A,315981.3461,234903.2625
WMS1025,ROTUNDA A,Class A,315840.4427,234939.5821
WMS1006,ROTUNDA B,Class A,315704.3512,234893.8645
WMS0951,RATHMINES WEST C,Class A,315621.5933,231586.8448
WMS0251,NORTH CITY,Class A,315878.3731,234669.3337
WMS1621,NORTH CITY,Class A,315864.8972,234655.2185
WMS4347,MANSION HOUSE B,Cast Iron,316575.3312,233081.0353
WMS2111,BALLYGALL C,Class B,315271.8663,239094.6826
WMS4350,MANSION HOUSE B,Cast Iron,316434.8362,233129.8889
WMS0501,KILMORE D,Class A,319740.9563,238900.2248
WMS4025,KILMORE A,Cast Iron,317707.4059,240200.7169
WMS1333,EDENMORE,Class A,320893.7906,239035.4158
WMS1338,EDENMORE,Class A,320985.1499,239072.7231
WMS3262,KIMMAGE D,Class B,313735.7947,230914.0232
WMS3089,PEMBROKE EAST E,Class B,318930.5179,231524.148
WMS3619,CLONTARF EAST B,Class B,320224.3059,236710.7064
WMS2163,BALLYMUN D,Class B,315530.5476,239391.9793
WMS1232,NORTH CITY,Class A,315450.713,234656.4698
WMS1169,MANSION HOUSE B,Class A,315939.1094,233569.9616
WMS3593,PEMBROKE WEST A,Class B,317667.2249,233340.4245
WMS1160,SOUTH DOCK,Bigbelly Bin,316635.3779,232820.049
WMS1003,ROTUNDA B,Class A,315610.2799,234813.7314
WMS4558,MERCHANTS QUAY B,Cast Iron,314675.3647,233799.7377
WMS1066,BALLYMUN D,Bigbelly Bin,315503.4656,239717.3156
WMS0717,SAINT KEVINS,Class A,315602.4673,233059.994
WMS2509,CLONTARF EAST A,Class B,320302.584,237681.2853
WMS3511,CLONTARF WEST C,Class B,318141.0452,236428.201
WMS3059,PEMBROKE WEST B,Class B,318006.0501,232962.2894
WMS4539,DRUMFINN,Cast Iron,309650.015,233693.7576
WMS0736,MANSION HOUSE B,Class A,316175.9379,233220.9179
WMS4344,MANSION HOUSE B,Cast Iron,316425.8346,232805.3999
WMS4431,SAINT KEVINS,Cast Iron,315632.2402,232739.2947
WMS2554,WHITEHALL A,Class B,315883.4635,237771.9176
WMS0119,NORTH DOCK C,Class A,316555.3258,234745.5029
WMS3125,PEMBROKE EAST E,Class B,318272.438,232096.7689
WMS0267,NORTH CITY,Class A,315665.67,234597.6568
WMS2235,WHITEHALL C,Class B,316934.75,239253.096
WMS2464,GRANGE D,Class B,321774.7929,239230.95
WMS4447,RATHMINES EAST A,Cast Iron,316883.7163,232302.2343
WMS4331,MANSION HOUSE B,Cast Iron,316491.6728,233335.4613
WMS0999,ROYAL EXCHANGE B,Class A,315892.0214,233716.1985
WMS2391,AYRFIELD,Class B,320308.4119,239559.0796
WMS0232,ROTUNDA A,Class A,315936.4879,234952.5001
WMS2052,FINGLAS NORTH B,Class B,313140.935,238855.8561
WMS4510,MERCHANTS QUAY C,Cast Iron,314927.7043,233431.5067
WMS0239,NORTH CITY,Class A,315878.4214,234708.6091
WMS4076,ARRAN QUAY D,Cast Iron,313609.1188,234494.2959
WMS4115,GRACE PARK,Cast Iron,317496.0995,237463.5922
WMS4320,WOOD QUAY A,Cast Iron,315197.1176,233462.8034
WMS2177,BALLYMUN A,Class B,314497.7146,240418.783
WMS0608,ROYAL EXCHANGE B,Class A,315774.8777,233622.7594
WMS2156,BALLYGALL C,Class B,315439.8065,238084.1503
WMS0117,NORTH DOCK C,Class A,316486.2436,234659.722
WMS2100,BALLYGALL C,Class B,314681.4817,239148.2212
WMS4345,MANSION HOUSE B,Cast Iron,316525.0447,232993.1892
WMS3113,RATHMINES EAST B,Class B,317497.784,231637.474
WMS2443,RAHENY-GREENDALE,Class B,323005.887,238824.8565
WMS1314,WHITEHALL C,Class A,316725.49,239338.5131
WMS2871,BALLYBOUGH A,Class B,316864.29,236011.2434
WMS0335,NORTH CITY,Class A,315456.4165,234630.1042
WMS2908,ARRAN QUAY B,Class B,314042.3998,235353.8628
WMS1323,ROYAL EXCHANGE B,Class A,315576.7883,233627.281
WMS4140,INNS QUAY A,Cast Iron,315399.2009,235832.5705
WMS0051,CLONTARF EAST B,Class A,320553.4349,235716.9286
WMS0539,KIMMAGE D,Class A,313924.7305,231276.5212
WMS4306,MOUNTJOY A,Cast Iron,316332.9888,235104.167
WMS2675,CLONTARF WEST D,Class B,317642.1014,236253.0282
WMS0091,ROTUNDA A,Class A,315685.6308,235562.8691
WMS1139,ROYAL EXCHANGE A,Bigbelly Bin,315874.4841,234212.2598
WMS0669,ROYAL EXCHANGE B,Class A,315668.7952,233789.7726
WMS2436,RAHENY-GREENDALE,Class B,323324.217,238976.0325
WMS2044,FINGLAS NORTH A,Class B,312561.3648,240079.0476
WMS0426,INNS QUAY C,Class A,315116.2282,234229.9013
WMS4493,MERCHANTS QUAY B,Cast Iron,315002.8283,233612.5458
WMS3352,WALKINSTOWN C,Class B,311299.1354,230926.7963
WMS2510,CLONTARF EAST A,Class B,320335.8106,237689.8534
WMS3048,PEMBROKE EAST E,Class B,318288.4747,232490.675
WMS3127,PEMBROKE EAST E,Class B,317933.4192,232306.7204
WMS0547,ROYAL EXCHANGE B,Class A,315586.0549,233714.3806
WMS2928,INNS QUAY A,Class B,315516.7362,235590.2397
WMS2334,KILMORE D,Class B,319841.8609,239032.2039
WMS1073,CLONTARF WEST B,Bigbelly Bin,318676.1117,237536.6284
WMS0572,ROYAL EXCHANGE B,Class A,315553.3255,233418.314
WMS0716,SAINT KEVINS,Class A,315603.3861,233083.792
WMS0815,MANSION HOUSE B,Class A,316268.9608,233838.3955
WMS2730,CABRA EAST A,Class B,314991.8077,236641.2175
WMS0917,PEMBROKE WEST C,Bigbelly Bin,317013.5612,232874.0275
